fold,method,feature_count,f1,balanced_accuracy,roc_auc
1,QAOA-4,4,0.9391585436139023,0.9026421534489405,0.960505716971279
1,All-42,42,0.9679862654009291,0.9525438338568777,0.9934808465901398
2,QAOA-4,4,0.939425025646158,0.9020646676665949,0.9610390414543071
2,All-42,42,0.968854549356765,0.9539513158607408,0.9938135369970096
3,QAOA-4,4,0.9408084936696242,0.9016539977786288,0.9597838600819288
3,All-42,42,0.9681597818402181,0.9528892937843587,0.9936307375509222
