candidates,k,qaoa_objective,exact_objective,approximation_ratio,exact_match,qaoa_time_seconds
6,2,0.953379941822738,0.953379941822738,1.0,True,0.9831699000205845
6,3,2.272396751609261,2.272396751609261,1.0,True,0.8305867000017315
8,2,0.953379941822738,0.953379941822738,1.0,True,6.623957200004952
8,3,2.3977763576887807,2.3977763576887807,1.0,True,8.14309980001417
