method,mean_f1,std_f1,mean_balanced_accuracy,mean_roc_auc
ANOVA,0.8780982292738134,0.00360221360763747,0.8119558936103037,0.9172064196686153
L1,0.9217263064841102,0.0006801070512018767,0.8316991955649528,0.8590682238953623
MI,0.8925756936186889,0.0007431738756273926,0.8406120012354649,0.8479523790544782
RandomForest,0.8814658532461735,0.0005348525494945315,0.8252053087814417,0.9139079422286928
