method,model,features,selected,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,pr_auc,mcc
Target-aware-QAOA,LogisticRegression,4,"['sttl', 'ct_state_ttl', 'dpkts', 'rate']",0.7194408006607395,0.7030471011468541,0.6978200907554053,0.8650401482396541,0.7724841667733706,0.8183690603380226,0.7693150529873374,0.4339636812443583
Target-aware-QAOA,RandomForest,4,"['sttl', 'ct_state_ttl', 'dpkts', 'rate']",0.794891415245591,0.7858703797329492,0.7794918151983807,0.8750110297361687,0.8244941227824026,0.8850502046761313,0.8727948986597438,0.5853602569848192
