method,mean_f1,std_f1,mean_balanced_accuracy,mean_roc_auc
ANOVA-4,0.9282655277695767,0.00012812160426197027,0.8891108173538766,0.9524333467644767
L1-4,0.9246447261095122,0.0002611729231795956,0.8813035351506514,0.9328215355864774
MI-4,0.9509517653665025,0.00032054932304310366,0.9333586029218028,0.9842505742726555
QAOA-4,0.9397973543098948,0.0008857512472326229,0.9021202729647214,0.9604428730602957
RF-4,0.9449597331483043,0.0008989771308033842,0.9172050780843207,0.9805212636074186
