method,features,accuracy,balanced_accuracy,precision,recall,f1,roc_auc
QAOA-DkS,4,0.7539838701841325,0.7266563503855041,0.6920520164810758,0.9966910791493867,0.8168940236306602,0.7860896982860386
Classical-correlation,4,0.7139629791575572,0.6968879283412945,0.6920879043352499,0.865613694520427,0.7691855336665686,0.8360516626880123
All-features,42,0.8140698634795706,0.7949830654796683,0.753786854206113,0.9835877525809583,0.8534895294973394,0.9504695161940376
