method,mean_f1,std_f1,mean_balanced_accuracy,mean_roc_auc
All-42,0.9683335321993041,0.00045947921329734923,0.9531281478339925,0.9936417070460238
QAOA-4,0.9397973543098948,0.0008857512472326229,0.9021202729647214,0.9604428728358383
